osm_id,type,lat,lon,name,amenity,addr:street,healthcare
5897591859,node,-7.2809075,112.7754253,,clinic,,clinic
5897591862,node,-7.2808876,112.7779573,Surabaya Heart & Vascular Clinic,clinic,,clinic
5897591866,node,-7.2800335,112.7642566,LBC Manyar Kertoarjo,clinic,,clinic
5897593893,node,-7.2801133,112.7750632,Biotest,clinic,,clinic
9807851263,node,-7.2905095,112.7466458,Klinik Pratama Sebelas Medika,clinic,,clinic
9813574236,node,-7.2654681,112.7516768,Klinik Surabaya Utara,clinic,,clinic
9816232358,node,-7.3246162,112.7251207,Klinik Pratama Adi Hayati Ketintang,clinic,,clinic
9816279739,node,-7.3087325,112.7316606,Praktek Dokter Dr. Sofwan Hadi,doctors,,doctor
9821306322,node,-7.3201147,112.7599313,Klinik Sentra Medika Surabaya,clinic,,clinic
9821384497,node,-7.2988591,112.7600089,Klinik Mata Tritya,clinic,,clinic
9821475352,node,-7.3349965,112.7514273,Klinik Medico Sier Kutisari,clinic,,clinic
9824048049,node,-7.2911822,112.7951887,RSGM Nala Husada,hospital,,hospital
9833059949,node,-7.2931451,112.7354954,Klinik Gigi RKZ,hospital,Jalan Ciliwung,hospital
9833266137,node,-7.2720146,112.7237254,Bidan Sudjiati Frans,doctors,,doctor
9891147069,node,-7.2605642,112.7952831,AKJ Aesthetic Center Pusat,clinic,Jalan Raya Mulyosari,clinic
11308076627,node,-7.3319572,112.7311917,BRIMedika,clinic,,
12292717236,node,-7.2912069,112.7362614,RS Katolik Vincentius A Poli,hospital,,
12958226683,node,-7.3331252,112.7356612,Klinik Pratama Poltekbang Surabaya,clinic,,
13205863501,node,-7.2921556,112.7362334,Klinik Umum Dan Spesialis Ciliwung 26,hospital,Jalan Ciliwung,hospital
119490024,way,-7.2903521,112.7928406,Medical Center ITS,clinic,,clinic
121862400,way,-7.2908984,112.7892865,Rumah Sakit Onkologi,hospital,,hospital
138697830,way,-7.3284006,112.7144457,Puskesmas Kebonsari,clinic,,
185053556,way,-7.2661587,112.7370451,RSIA PUSURA,hospital,Jalan Tegalsari,hospital
185055599,way,-7.267437,112.7359191,TCM Sari Alam,clinic,,clinic
185056779,way,-7.2679286,112.7383203,Erha,clinic,Jalan Kombes M. Duryat,clinic
185056781,way,-7.2681102,112.7391107,Panti Asuhan Matahari Terbit,clinic,Jalan Kombes M. Duryat,clinic
194433170,way,-7.2828126,112.7798288,RSUD Haji Provinsi Jawa Timur,hospital,Jl. Manyar Kertoadi,hospital
257897278,way,-7.2697298,112.7849794,Rumah Sakit Universitas Airlangga,hospital,Jalan Dharmahusada Indah Utara,
280299555,way,-7.287413,112.7382653,Rumah Sakit Darmo,hospital,Jalan Raya Darmo,hospital
307282253,way,-7.2861609,112.7620875,Rumah Sakit Jiwa Menur Provinsi Jawa Timur,hospital,,hospital
307388039,way,-7.2420683,112.7928573,Klinik Pratama,clinic,,
320182744,way,-7.2699287,112.7863259,Rumah Sakit Khusus Infeksi,hospital,Jl. Mulyorejo,
344100866,way,-7.2808544,112.6345629,Ciputra Hospital,hospital,,
371708402,way,-7.2708674,112.7566483,Pusat Layanan Kesehatan Unair,clinic,,clinic
376494209,way,-7.2918904,112.7353796,Rumah Sakit Katolik St. Vincentius A Paulo (RKZ),hospital,,hospital
405810167,way,-7.3056173,112.7377329,Puskesmas Jagir,clinic,Jalan Bendul Merisi,clinic
405810297,way,-7.3056404,112.7391014,UPT Latkesmas Murnajati,clinic,Jalan Bendul Merisi,clinic
426896954,way,-7.2694757,112.7514424,Klinik Ultra Medica,clinic,,clinic
426896980,way,-7.2693392,112.7511561,MedicElle Clinic Gubeng,clinic,,clinic
429000349,way,-7.2762311,112.7491055,The Emdee Skin Clinic,clinic,Jl. Biliton,clinic
429077947,way,-7.2737545,112.7448221,RSIA Ferina Surabaya,hospital,,hospital
431978015,way,-7.2771172,112.747935,Elizabeth Medical Centre,clinic,,clinic
445055946,way,-7.2893685,112.8003844,Puskesmas Pembantu Sukolilo,clinic,Jalan KH. Ahmad Dahlan,clinic
446524876,way,-7.3096549,112.7385128,Rumah Sakit Angkatan Laut Dr. Ramelan,hospital,Dinas Pertanian UPT Pengawasan dan sertifikasi hasil pertanian,hospital
446537097,way,-7.2993423,112.676384,National Hospital,hospital,Jalan Lingkar Dalam Barat,hospital
446965896,way,-7.2839025,112.7854947,Puskesmas Pembantu Gebang Putih,clinic,,clinic
447131994,way,-7.2842851,112.7672786,Dokter Spesialis Anak Dr Dian Pratamastuti,doctors,,doctor
447133120,way,-7.2888754,112.7608882,KLINIK SANTA MARIA TAK BERCELA,clinic,Jalan Ngagel Jaya Indah II,clinic
447334127,way,-7.294027,112.8018785,Puskesmas Keputih,clinic,,clinic
447352159,way,-7.2968727,112.764347,Puskesmas Menur,clinic,,clinic
